RepoName,FilePath,NumAnnotatorsOnFile,NumSmells,FleissKappa_FileLevel
1789336421/Omni-Mol,1789336421-Omni-Mol-8a9426d/peft/tests/test_initialization.py,7,9,0.71
1Panel-dev/MaxKB,1Panel-dev-MaxKB-d33dd45/apps/models_provider/impl/anthropic_model_provider/model/llm.py,7,9,0.8
1Panel-dev/MaxKB,1Panel-dev-MaxKB-d33dd45/apps/models_provider/impl/tencent_model_provider/model/hunyuan.py,7,9,0.8
567-labs/instructor,567-labs-instructor-130c034/examples/logfire-fastapi/server.py,7,9,0.75
567-labs/instructor,567-labs-instructor-130c034/instructor/validation/__init__.py,7,9,0.87
567-labs/instructor,567-labs-instructor-130c034/tests/llm/test_genai/test_format.py,7,9,0.81
AI-Hypercomputer/maxtext,AI-Hypercomputer-maxtext-bc53aaa/src/MaxText/utils/ckpt_scripts/convert_gpt_oss_ckpt.py,7,9,0.84
AI-Hypercomputer/maxtext,AI-Hypercomputer-maxtext-bc53aaa/tests/aot_hlo_identical_test.py,7,9,0.8
AIGeeksGroup/MobileVLA-R1,AIGeeksGroup-MobileVLA-R1-2554dfd/llava/train/transformers_replace/models/mistral/configuration_mistral.py,7,9,0.78
ATheorell/AutoGPTArenaHack,ATheorell-AutoGPTArenaHack-1e4f2dc/autogpts/autogpt/autogpt/processing/text.py,7,9,0.77
AdaptVision/AdaptVision,AdaptVision-AdaptVision-e8b1fa3/verl/third_party/vllm/vllm_v_0_4_2/llm.py,7,9,0.82
Aider-AI/aider,Aider-AI-aider-7301d45/aider/coders/base_coder.py,7,9,0.68
All-Hands-AI/OpenHands,OpenHands-OpenHands-bf06b7e/evaluation/benchmarks/the_agent_company/scripts/summarise_results.py,7,9,0.71
Azure-Samples/azure-search-openai-demo,Azure-Samples-azure-search-openai-demo-35a7885/tests/test_agentic_retrieval.py,7,9,0.83
BerriAI/litellm,BerriAI-litellm-05f800f/litellm/google_genai/streaming_iterator.py,7,9,0.87
BerriAI/litellm,BerriAI-litellm-05f800f/litellm/integrations/azure_storage/azure_storage.py,7,9,0.69
BerriAI/litellm,BerriAI-litellm-05f800f/litellm/litellm_core_utils/prompt_templates/huggingface_template_handler.py,7,9,0.8
BerriAI/litellm,BerriAI-litellm-05f800f/litellm/llms/azure/fine_tuning/handler.py,7,9,0.8
BerriAI/litellm,BerriAI-litellm-05f800f/litellm/llms/bedrock/embed/amazon_titan_multimodal_transformation.py,7,9,0.77
BerriAI/litellm,BerriAI-litellm-05f800f/litellm/llms/bedrock/image/amazon_nova_canvas_transformation.py,7,9,0.77
BerriAI/litellm,BerriAI-litellm-05f800f/litellm/llms/gemini/files/transformation.py,7,9,0.84
BerriAI/litellm,BerriAI-litellm-05f800f/litellm/llms/google_pse/search/transformation.py,7,9,0.8
BerriAI/litellm,BerriAI-litellm-05f800f/litellm/llms/heroku/chat/transformation.py,7,9,0.79
BerriAI/litellm,BerriAI-litellm-05f800f/litellm/llms/jina_ai/embedding/transformation.py,7,9,0.84
BerriAI/litellm,BerriAI-litellm-05f800f/litellm/llms/pass_through/guardrail_translation/__init__.py,7,9,0.84
