project_id,files_touched,rules_touched,occurrences
0xk1h0__PentestGPT__a6edb3053ef1b3e0c36286306bc95cd8e6ceb026,5,4,38
1038lab__ComfyUI-QwenVL__03e7dc48e6c183aafc20be9332235382aa5e0f2c,1,1,1
1789336421__Omni-Mol__8a9426d9a14d52efaf70942e79dc2819cf204f0c,45,1,340
1Panel-dev__MaxKB__v2,22,6,41
567-labs__instructor__main,142,6,945
AI-Hypercomputer__maxtext__bc53aaa15c78d74179f79f4f302d2f8ec66ebdce,14,3,21
AIGeeksGroup__MobileVLA-R1__2554dfdba8190687ad4f417066ad7ce62b60247e,22,7,54
ATheorell__AutoGPTArenaHack__1e4f2dc004b92b9f236543674f94fb9f0af9bb2e,2,4,5
AdaptVision__AdaptVision__e8b1fa3df4a71892b8e2daed292ef10fc60c455a,8,3,15
Agent-One-Lab__AgentFly__8a9d8c9902d79cb9f3c4eacdfd5e021e02640143,16,5,29
AgentValley__chromadb-chatbot__48c10aa15ae4c0896fc282c4f1c4efdfccbd53bf,1,2,2
All-Hands-AI__OpenHands__main,8,6,32
Anemll__Anemll__6ecb10d7dfe90533af13ac23c825ca76aab0c56e,64,1,95
AntonOsika__gpt-engineer__main,3,4,6
ArtificialAnalysis__Stirrup__e8ae0bf6fbd22a0ffb763839b8f6324821881acc,1,3,3
Ascend__MindSpeed-MM__afbb58ae1d3415c8a81b373037f639c8d1fbbb90,1,1,1
AstrBotDevs__AstrBot__master,4,3,13
Azure-Samples__autoauth-solution-accelerator__ee3be31a0b58403beb24813d7ca7de50604ad66d,3,5,10
Azure-Samples__azure-search-openai-demo__main,2,4,5
Azure-Samples__deepseek-python__5d191c114045a8709baf13be95025463cba7af10,1,3,3
B-Beginner__MULTI-OCR-SDK__4336e1c0c2a223476946f296769c77ad28337fcd,2,5,8
BerriAI__litellm__main,79,7,423
Bessouat40__RAGLight__211a8d986c22da6d46db98302ee77653327495b5,3,4,10
BillSchumacher__Auto-GPT__bdd07b18bea674cf756ebfb3a0a8915042d9126f,1,1,2
Blaizzy__mlx-vlm__c4ea290e47e2155b67d94c708c662f8ab64e1b37,3,1,4
BlinkDL__RWKV-LM__main,2,2,3
Byaidu__PDFMathTranslate__main,1,4,15
ByteDance-Seed__VeOmni__889cb3379a1143f4aa178ff55dbb3b1bcb788135,2,1,2
CVHub520__X-AnyLabeling-Server__8ff87303a15352883c37c61bd01fbe6f66866445,3,5,9
CVHub520__X-AnyLabeling__58b1f255afea17c4f2d877a7a4d3085c21c83cfd,5,6,11
Chapplication__chatty-friend__c562a1b66d23fe33af426f68bc1d6c946c7f4274,3,4,8
CloudDevStudios__Agent-LLM__f89aaebd761a4d016b8a61ee511330f5ed403fe9,1,2,3
CodeGoat24__Pref-GRPO__32decc4c6f3df15d0fd5f5d605c98c8cf9b7cbb7,3,1,4
CodeGoat24__UnifiedReward__3c16510485bb9c924bfedc8b4d09c1b4e4f772ba,26,6,100
CraftJarvis__OpenHA__2127a3448831aad52dadc19f70c7d1b5d21a5fe0,57,6,100
DEV-MAT1996__LLM__af21355b5b696c15a4c1dae940d108b2cfb62111,3,1,12
DIGIT-X-Lab__MOSAICX__b1cf7ddd60f9d34be535d0493fbf9b5d324de592,3,3,25
DataArcTech__RAG-ARC__f1f37bc149eb5ef6d10d13aae5a12c303fd17679,7,6,23
Devansh968__Chat-with-Pdf-using-Qdrant-vector-database__771195f36a735a6f4ac1b63edc04661c11a67f3f,24,6,97
Dexmal__dexbotic__0e89d15b7f659bffc4f397a2aa72169726de5ca7,9,1,9
Doriandarko__BabyAGIChatGPT__174491cbbc09d3f6ef0ec511e9e3b94e2615ffa0,1,4,6
DougHaber__lair__ba05d7196a202b80edacb91d921792e2641bfb35,1,3,6
DrDavidL__sem-mem__90b30bdd4da194cc48e85e931547deec0a7b5e2c,9,5,45
DylanLRPollock__Monkey-Head-Project__6b0c9ec5d0a56d3d44693dd97055d90f7fc2aa24,1,3,7
EleutherAI__gpt-neox__main,5,1,7
EleutherAI__lm-evaluation-harness__69ecd0b929701d346c1119d5cd0563ade4ab3536,8,4,11
Eliot-Shen__DF-LLaVA__780c9bc951898050cd77a837fe740abcf21ea9a7,4,1,25
EmbraceAGI__LocalAGI__f2fd7824ee270b8d45b336366ec885a14b809b8b,3,3,8
Eran-BA__PoT__630445e8ad2c31e2517bd93906cc1aba5b0d2396,11,1,21
EuroEval__EuroEval__f8854a53adee88ca85bdfaa359c0700b62766b7d,11,5,21
EverMind-AI__EverMemOS__4814aae8397653cf750c970764eae357c3e8ceb4,5,4,15
EvolvingLMMs-Lab__LongVT__93a349cf9b79fa3bf95e3e131b506e10a6329dc6,31,5,81
EvolvingLMMs-Lab__OpenMMReasoner__d7bf5769469800d636b69945b81f1ba51b89695e,8,5,18
EvolvingLMMs-Lab__lmms-engine__2725473e746735fccbb7c66a1dcbef2eec97c179,5,1,6
EvolvingLMMs-Lab__lmms-eval__b0da65de53bfa6fd52010b7d1a86dfd2f598764c,74,7,183
ExpressGit__langchain-ChatGLM__21035d7706b24956f845c65e1492690abbb07d8b,1,1,2
FLASK-LLNL__ChARGe__70e74c60151556c7c53a24a7733220a8c78b5574,3,4,8
FOLLGAD__Godmode-GPT__4e1dc7055580ab9bb3ce85114f9e17950ac96d7b,3,2,4
Fir-lat__LaVer__abe70c7c19666decbefb5811d7d878d490f1e56c,11,6,41
Fsoft-AIC__LibMoE__52fa34981f008b26aee89eff1be608b676b63b21,24,7,56
GaiZhenbiao__ChuanhuChatGPT__main,10,6,31
GalTransl__GalTransl__89aee00f7fb4ffd681dc056dc7fb4b26fa64d783,2,4,6
Gamma-Software__AppifyAi__1e2a008b29a0a14d590f41056226636dae266931,1,1,3
Ganador1__FenixAI_tradingBot__6e12bb342f040f1a1c1b06ea6fa5c1bfd2d1efc1,4,4,12
GeneralUserModels__pack__ccdb66d1b1332c0f9d1c8a65a77396e2110b7861,4,6,18
GetStream__Vision-Agents__b5649a8998622d01eeb0c351d680f550bdc450fe,11,6,56
GradientHQ__parallax__717b7f972cfa6a1e845576ec4f69a10c9718f7c0,1,1,1
Gumpest__SparseVLMs__e58d8986399b645b7631ed08807821b6157c52ae,9,3,29
