index,owner,repo,commit_sha,source
0,ai-dynamo,dynamo,aaed4f3b873aee186dfa176709b850a1234d32b4,Own_Extracted_Dataset.xlsx
1,confident-ai,deepeval,847e12c6f59aaf4b1ed5d908af9b7da7e1232263,Own_Extracted_Dataset.xlsx
2,containers,ramalama,662b93d6837b39cb9f3a49330e76d89a4bb53b26,Own_Extracted_Dataset.xlsx
3,unslothai,unsloth,d5b61a6bc6d546ca6afa9043f9c4b15713ecac62,Own_Extracted_Dataset.xlsx
4,unslothai,unsloth-zoo,7910c9211fa053ef7a31b8662738be70a7da9db5,Own_Extracted_Dataset.xlsx
5,huggingface,trl,1dc8bbca025ede5d964f6080eef5eea74819cbfb,Own_Extracted_Dataset.xlsx
6,instructlab,training,c495035075cbda242b7ff3fdccb51bf478142932,Own_Extracted_Dataset.xlsx
7,Josh-XT,AGiXT,c1cba14cf62631eb2cc30ca48bde9129a1f67145,Own_Extracted_Dataset.xlsx
8,RLinf,RLinf,921b60326e738c8632fdab58f49d42d58f605876,Own_Extracted_Dataset.xlsx
9,ROCm,ATOM,958f0e6e90724679dddd8dc246d7f86209ec8582,Own_Extracted_Dataset.xlsx
10,unslothai,notebooks,b9224375ef697bdb67444f6b31a0859a6dcdd34e,Own_Extracted_Dataset.xlsx
11,casinca,LLM-quest,a2c5328033a10391f7a92519b7daa69b020c44da,Own_Extracted_Dataset.xlsx
12,Lightning-AI,litgpt,df94ee2cae47d8d2fb20815c175e98fd1f64a27a,Own_Extracted_Dataset.xlsx
13,oumi-ai,oumi,9094a4c940dbad24aff1fa1a486db6608234b42c,Own_Extracted_Dataset.xlsx
14,skypilot-org,skypilot,a3f153cec4ceb060832c9c17a1c9697c95a580be,Own_Extracted_Dataset.xlsx
15,NVIDIA,Model-Optimizer,b286165362317940fb11bef02e1cad183ad22acb,Own_Extracted_Dataset.xlsx
16,NVIDIA,TensorRT-LLM,0b279f4ad4b9c2842cb79e1a45754ec1fd51646a,Own_Extracted_Dataset.xlsx
